"Number","Line 1","Line 2","Line 3"
1364,"However, a flash of insight allows you to complete the last twist.","%s suddenly lunges forward, finishing the puzzle in a flash of insight.",
1365,"With the rattle of many complex mechanisms, the door opens!","With the rattle of many complex mechanisms, the door opens!","With the rattle of many complex mechanisms, the door opens!"
1366,"An incredible blast of lightning streaks out and sears you!",,"An incredible blast of lightning streaks out and sears %s for %s damage!"
1367,"The gnome commander gives you the heavy bloodstone orb.","The gnome commander gives %s a heavy bloodstone orb.",
1368,"When the brooch is not forthcoming, he spits in disgust and turns away!","The shopkeeper spits in disgust at %s.",
1369,"The shopkeeper frowns in anger when you say you do not have the orb.","The shopkeeper frowns in anger at %s.",
1370,,"You swallow some of the scummy black water, and feel sick!",
1371,"You dive into the black waters of the moat!","%s dives into the black waters of the moat!",
1372,"You get the feeling that something is living in here...","%s dives down into the moat from above!",
1373,"You do not see that here.",,
1374,"The dark power of the portal forces you back!","%s tries to enter the dark portal, but is forced back!",
1375,"You step into the dark portal, and a wrenching sensation envelops you!","%s steps into the dark portal, and vanishes!",
1376,"A vast, featureless plane of darkness surrounds you.","%s appears in a flash of light!",
1377,"You follow an ethereal thread.","%s follows an ethereal thread.","%s arrives from an ethereal thread."
1378,"You cannot do that right now!","%s tries to touch the black orb, but is blocked!",
1379,"You touch the black orb, and a bolt of energy shoots upwards!","%s touches the black orb, and a bolt of energy shoots upwards!",
1380,"You cannot do that right now!","%s makes a move for the throne, but is blocked!",
1381,"You push the button on the throne.","%s pushes the button on the throne.",
1382,"You cannot do that right now!","%s tries to attack the apparatus, but is blocked!",
1383,"The apparatus falls apart in a somewhat unclimactic clatter of parts.","The apparatus falls apart in a somewhat unclimactic clatter of parts.",
1384,"You launch yourself at the hideous contraption, intent on its destruction!","%s begins to attack the contraption, intent on its destruction!",
1385,"A cloud of bluish vapour escapes, and you can't help but inhale it!","%s accidentally inhales a cloud of bluish vapours!",
1386,"You feel lightheaded, and somewhat more evasive!","%s reels lightheadedly!",
1387,"The statue of the dark-elf animates, pulls out a key, and gives it to you.","The statue animates, pulls out a key, and gives it to %s.",
1388,"The statue animates, and attacks!",,
1389,"With a groaning crack, a passage in the dead-end reveals itself.",,
1390,"rocky passage %s",,
1391,"The wooden front of the keg swings open soundlessly!",,
1392,"open keg %s",,
1393,"With a grinding clank, a stone trapdoor swings open.",,
1394,"open stone trapdoor %s",,
1395,,"You take %d damage from the explosion!",
1396,,,"Precious treasures spill forth from the chest as it is split open."
1397,"You open the silver casket and find...","%s opens the silver casket an finds...",
1398,"The key breaks and crumbles apart.","%s's key breaks and crumbles apart.",
1399,"turn wheel","push bar","move wheel"
1400,"You turn the great wheel with a mighty effort, and the drawbridge opens!","%s turn the great wheel with a mighty effort, and the drawbridge opens!",
1401,"You climb out of the filthy moat.","%s climbs out of the filthy moat.","%s arrives from the moat, stinking and dripping wet."
1402,"A wererat plague-crafter sneaks in from %s.","The wererat plague-crafter sneaks out to %s.","The wererat plague-crafter runs after you!"
1403,"You rolled a 2.",,
1404,"You rolled a 3.",,
1405,"You rolled a 4.",,
1406,"You rolled a 5.",,
1407,"You rolled a 6.",,
1408,"You rolled a 7.",,
1409,"You rolled an 8.",,
1410,"You rolled a 9.",,
1411,"You rolled a 10.",,
1412,"You rolled an 11.",,
1413,"You rolled a 12.",,
1414,"You step through the swirling portal.","%s steps through the swirling portal.","%s arrives through the swirling portal."
1415,"A swirling grey fog blocks your vision!",,
1416,"Shock message 1","Shock message 2","Shock message 3"
1417,"rip|slice|slash","rips|slices|slashes","rips|slices|slashes"
1418,"You drink from the shimmering vial, and energy flows through you!",,"%s drinks from a vial of shimmering liquid."
1419,"You drink the black potion, and are filled with vigor!",,"%s drinks a black potion."
1420,"You drink from the golden vial, and are filled with energy!",,"%s drinks from a golden vial."
1421,"You open the wooden box, and find...","%s opens a wooden box, and finds...","%s opens a wooden box, and finds..."
1422,"Some coins!","Some coins!","Some coins!"
1423,"An ornamental stone!","An ornamental stone!","An ornamental stone!"
1424,"A semi-precious stone!","A semi-precious stone!","A semi-precious stone!"
1425,"A fancy stone!","A fancy stone!","A fancy stone!"
1426,"A precious stone!","A precious stone!","A precious stone!"
1427,"A gem!","A gem!","A gem!"
1428,"A jewel!","A jewel!","A jewel!"
1429,"A potion!","A potion!","A potion!"
1430,"A piece of jewelry!","A piece of jewelry!","A piece of jewelry!"
1431,"Nothing.","Nothing.","Nothing."
1432,"You open the oak chest, and find...","%s opens an oak chest, and finds...",
1433,"A piece of armour!","A piece of armour!",
1434,"A weapon!","A weapon!",
1435,"You cannot do that right now!",,
1436,"You open the massive wooden chest, and find...","%s opens a massive wooden chest, and finds...",
1437,"A suit of armour!","A suit of armour!",
1438,"A large weapon!","A large weapon!",
1439,"You open the silver box, and find...","%s opens a silver box, and finds...",
1440,"You open the iron-banded chest, and find...","%s opens an iron-banded chest, and finds...",
1441,"You open the darkwood chest, and find...","%s opens a darkwood chest, and finds...",
1442,"You open the golden box, and find...","%s opens a golden box, and finds...",
1443,"You open the iron chest, and find...","%s opens an iron chest, and finds...",
1444,"You open the silverwood chest, and find...","%s opens a silverwood chest, and finds...",
1445,"The %s rips you with a tentacle for %d damage!","The %s rips %s with a tentacle for %s damage!","The shard creature squeals shrilly, and falls dead!"
1446,"%s is shocked for %d damage!","You are shocked for %d damage!","%s is shocked for %s damage!"
1447,,"The %s fires a %s at you for %d damage!","The %s fires a %s at %s for %s damage!"
1448,"The shock wears off!","%s is stunned by electrical shock!","You are stunned by electrical shock!"
1449,,"The %s %s you with a burst of energy!","The %s %s %s with a burst of energy!"
1450,"The %s rips you with a tentacle for %d damage!","The %s rips %s with a tentacle for %s damage!","The alien monstrosity falls to the ground with an earth-shaking thump!"
1451,"You scale the rocky wall with the aid of your rope and grapple.","%s scales the rocky wall with the aid of a rope and grapple.",
1452,"That would be suicide without the proper equipment.","%s tries to climb the wall, but thinks better of it.",
1453,"go crack","enter crack","go bush"
1454,"You push the bushes aside and slip into the rocky crack.","%s pushes through the bushes!","%s arrives through the bushes with a loud crackling sound."
1455,"A %s runs into the area!","The %s slinks out to the %s.","The %s races after you!"
1456,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The aurumvorax growls in pain, and falls with a thud."
1457,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The bandit leader grunts in pain, and doubles over."
1458,"The dwarven merchant looks at you in disgust as you scrounge for cash.","%s scrounges for cash like a bum.",
1459,"The dwarven merchant hands over the axe in exchange for your money.","%s buys an axe from the dwarven merchant.",
1460,"The dwarven merchant hands over a mail shirt in exchange for your money.","%s buys a mail shirt from the dwarven merchant.",
1461,"The dwarven merchant hands you a hammer in exhange for your money.","%s buys a hammer from the dwarven merchant.",
1462,"A %s stomps into the area.","The %s stomps out to %s.","The dwarf runs after you!"
1463,"The %s chops you for %d damage!","The %s chops %s for %s damage!","The dwarf screams, ""You'll never get my wares!"", and blows himself up!"
1464,"The %s chops you for %d damage!","The %s chops %s for %s damage!","The dwarven bodyguard makes a last desperate swing, then falls dead!"
1465,"A %s strides in from nowhere.","The %s strides out to %s.","The %s charges after you!"
1466,"The %s pounds you for %d damage.","The %s pounds %s for %s damage.","The cleric of Aerdwyne eyes you balefully, and collapses!"
1467,"%s slashes you for %d damage!","%s slashes %s for %s damage!",
1468,,"You take %d damage from the poisonous swamp!","%s takes %s damage from the poisonous swamp!"
1469,"hurl your throwing knife and strike","hurls a throwing knife and strikes","hurls a throwing knife and strikes"
1470,,"Shrieking in a foreign tongue, the %s lays a curse upon you!","Shrieking in a foreign tongue, the %s lays a %s upon %s!"
1471,"With frightening speed, your body begins to wither!","With frightening speed, your body begins to wither!","With frightening speed, %s's body begins to wither!"
1472,"As the curse runs its course, you die in agony, withered to death!","As the curse runs its course, you die in agony, withered to death!","%s runs about in agony, then drops to the ground, withered to death!"
1473,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The gypsy falls to the ground with a curse."
1474,"The %s hurls a throwing knife and strikes you for %d damage!","The %s hurls a throwing knife and strikes %s for %s damage!","The gypsy collapses with a curse."
1475,"The gypsy woman says ""You have already recieved your fortune. Go now.""","The gypsy woman tells %s to come back later.",
